user_id,movie_id,rating,timestamp
587,2987,3,975945420
587,1249,2,976899720
587,574,3,976032215
587,576,3,977844715
587,3937,2,975944796
587,2054,2,976430325
587,1252,4,976235552
587,1256,5,975945631
587,1257,4,975946652
587,2997,3,975945042
587,1258,4,976899943
587,1259,3,975946463
587,586,3,976207912
587,587,1,976207679
587,588,2,976032215
587,3007,4,976235720
587,1405,3,976032453
587,1407,3,977115658
587,2064,3,975946673
587,2065,4,976031955
587,1264,3,977114755
587,1265,3,975946498
587,590,1,977115817
587,592,3,977115407
587,593,4,976235465
587,3014,3,976430970
587,1270,4,975945589
587,2076,2,977114944
587,1277,4,976235729
587,1278,2,993556125
587,2080,3,975945609
587,1428,3,982711206
587,1285,4,975988207
587,2088,1,976431076
587,1288,5,975988172
587,1289,3,976899720
587,3033,2,976032612
587,3037,4,993129141
587,3039,5,975946697
587,2239,2,976429639
587,905,3,975945532
587,1439,2,976207939
587,1296,1,977114376
587,1298,2,977115711
587,1299,3,976899656
587,3040,5,975946922
587,2241,2,977035174
587,1441,4,976032534
587,912,5,975944796
587,2248,4,976031894
587,913,2,976432177
587,915,3,976032215
587,919,4,976431800
587,778,3,977114410
587,3052,2,975946900
587,1454,2,976207585
587,788,3,976207808
587,3200,4,975946593
587,3201,4,976235749
587,2403,4,975944796
587,2405,2,976430860
587,3208,2,976032589
587,2261,3,976032330
587,2262,3,977035150
587,3210,5,975945631
587,2416,4,976032330
587,1617,2,976235511
587,3078,1,978105492
587,1476,3,975946873
587,949,4,976899877
587,2423,2,975946790
587,3086,3,975946652
587,1485,3,976032383
587,2289,1,977035600
587,3235,4,976430377
587,2290,3,975946873
587,1639,5,978105541
587,2296,2,976208175
587,969,4,978105460
587,3246,1,978104865
587,1648,4,975946873
587,1649,4,977115566
587,3253,4,976117164
587,3254,2,976207827
587,2457,2,976430325
587,3261,3,976207699
587,3263,3,976032635
587,2463,2,975946775
587,1663,5,975946673
587,3418,2,977115321
587,2470,3,976032122
587,2471,2,976431200
587,1673,3,976900276
587,2478,4,976430282
587,3421,5,975945589
587,3422,3,976031857
587,3424,4,975946516
587,2628,2,976432129
587,215,2,977114781
587,2631,1,976208238
587,2492,3,975944988
587,222,1,977115636
587,223,5,975945093
587,2640,3,978105708
587,232,2,976031783
587,233,1,975945160
587,3450,3,976032344
587,2657,4,976429971
587,2659,2,977035174
587,246,3,976235720
587,3608,3,975946726
587,2806,3,975945385
587,3468,3,977113474
587,255,2,976208157
587,3616,1,977844822
587,3617,3,977844908
587,3618,4,976032491
587,3479,2,976432107
587,260,4,976432061
587,265,2,976235686
587,3481,2,975946631
587,2683,4,975945021
587,413,2,976207877
587,1884,2,975946900
587,1885,4,976031878
587,278,3,976032295
587,2836,3,975946743
587,1897,4,977115044
587,1103,4,977114727
587,3646,1,976742856
587,296,5,976235639
587,297,2,976235429
587,2858,3,975944988
587,441,4,975946673
587,445,3,976208142
587,1120,2,977115711
587,1124,3,978105636
587,2864,1,977034140
587,3812,4,976032470
587,3814,5,975946498
587,3671,3,976031819
587,2871,4,976900032
587,1136,4,975945551
587,608,5,976235498
587,467,2,977416301
587,3821,1,976431474
