user_id,movie_id,rating,timestamp
2060,3793,4,975370375
2060,2997,3,974659694
2060,589,5,974659963
2060,1,5,974661569
2060,3006,4,974660271
2060,3007,4,1034768334
2060,1407,4,974681598
2060,1265,5,974659566
2060,733,3,974661179
2060,590,4,974680699
2060,736,3,974661331
2060,593,3,974660246
2060,597,4,974681335
2060,1270,5,974659566
2060,747,2,974685301
2060,1422,3,974683698
2060,2082,4,974683911
2060,2094,4,974661384
2060,762,2,974684683
2060,765,3,974684877
2060,780,4,974662333
2060,784,2,974683893
2060,785,3,974681442
2060,1461,3,974662943
2060,2266,2,974684810
2060,2268,4,974660614
2060,2412,1,974685558
2060,1610,3,974659999
2060,1617,3,974680004
2060,1474,2,974685100
2060,1476,5,974661679
2060,2421,1,974659127
2060,2423,5,974662943
2060,3081,3,974681341
2060,1627,3,974683644
2060,1483,2,1000500382
2060,1487,2,974681482
2060,2291,4,974660359
2060,1639,3,974680326
2060,3243,2,974684610
2060,1641,3,974680345
2060,1644,3,974684774
2060,2447,3,974683574
2060,3253,5,974661729
2060,3254,2,974661729
2060,3255,3,974680453
2060,3257,2,974684637
2060,2606,3,974685384
2060,3263,4,974683503
2060,1805,3,974681212
2060,3264,4,974681742
2060,3268,1,974686125
2060,3418,3,974660039
2060,2617,2,974661297
2060,3274,4,974681633
2060,1673,4,974660568
2060,1676,3,974660072
2060,208,3,974661442
2060,3421,4,974659524
2060,2628,4,974662360
2060,1682,3,974660421
2060,216,3,974683940
2060,1831,2,974684878
2060,223,3,974680345
2060,231,3,974683765
2060,234,4,974684909
2060,2806,3,974684105
2060,255,2,974685525
2060,3614,3,974681469
2060,3617,4,978072943
2060,3476,2,974680466
2060,260,5,974659251
2060,3481,2,974660765
2060,410,1,974683619
2060,2683,3,974683832
2060,415,3,974684712
2060,420,2,974684909
2060,2694,3,974684245
2060,2699,2,974662360
2060,427,2,974685525
2060,429,2,974684564
2060,288,3,974683644
2060,1100,3,974684741
2060,2841,4,974681469
2060,434,2,974661331
2060,291,3,974685068
2060,438,3,974685156
2060,296,4,974660246
2060,2858,2,1011752218
2060,440,3,974680423
2060,442,1,974681742
2060,3802,1,974685558
2060,1120,3,974660447
2060,3809,4,974680800
2060,1126,4,974684572
2060,455,3,974661406
2060,457,3,974659963
2060,3671,5,974659723
2060,608,5,974660202
2060,3826,2,979089497
2060,3827,2,990133232
2060,3686,4,974681583
2060,474,2,974660039
2060,3835,3,974685100
2060,480,3,974660072
2060,485,3,974684532
2060,1302,5,977793904
2060,1179,4,974660641
2060,648,3,974661297
2060,3861,2,977793748
2060,3863,3,979089476
2060,2124,1,974681129
2060,3869,2,974681648
2060,2134,5,974661962
2060,1191,1,974684274
2060,3879,2,983331988
2060,662,4,974684379
2060,3882,3,983332047
2060,1343,3,974680278
2060,818,4,974683940
2060,3897,4,987686559
2060,1358,3,974660271
2060,1359,3,974661480
2060,3101,4,974659345
2060,1500,3,974680699
2060,3105,4,974680127
2060,3107,4,974681598
2060,3114,5,975370350
2060,1513,1,974683511
2060,1370,2,974662333
2060,1517,3,974680852
2060,842,5,974680925
2060,1377,2,974661297
2060,849,1,974684105
2060,2321,4,974680148
2060,1527,3,974681335
2060,858,3,1015042992
2060,2335,3,974684712
2060,1391,3,974684105
2060,1393,3,974680645
2060,866,3,974680087
2060,3147,5,974660595
